Statistic,Styczeń,Luty,Marsz,Kwiecień,Maj,Czerwiec,Lipiec,Sierpień,Wrzesień,Październik,Listopad,Grudzień
Śr. Temperatura (° C),-5.6,-4.4,0.4,8.8,15.1,18.3,19.6,18.8,14,8.1,2,-2.4
Min. Temperatura (° C),-8.3,-7.4,-3.1,4.1,9.9,13.2,14.5,13.6,9.1,4.1,-0.5,-4.7
Max. Temperatura (° C),-2.8,-1.3,3.9,13.5,20.4,23.5,24.7,24,18.9,12.1,4.6,0
Opady / Opady deszczu (mm),45,42,37,49,53,75,86,66,51,37,49,50
